     Fname(10)     Lname(10)ID(4)     Phone(13)
         Merla         Black 9284 (618)650-2308
        Bonita          Hill 9813 (618)650-3348
         Chris         Smith 6299 (618)650-2387
         Byung          Park 8714 (618)650-1111
        Robert      Pickford 1148 (618)650-2321
       Richard       Poirier 9798 (618)650-9999
       Michael        Rhoden 2174 (618)650-1308
          Jean         Roehl 9436 (618)666-2308
          Eric        Salyer 5807 (314)294-2308
         Young          Shin 9476 (314)294-3348
       Patrick         Smith 1974 (618)650-4444
         Laura          Snow 4201 (618)650-5555
       Bretton        Wendel 4979 (618)650-6666
         Larry         Smith 2661 (618)650-2222
         David        Letter 1045 (314)294-3334
           Jay          Lion 7201 (618)655-3348
         Black         Smith 2502 (618)655-1234
         David        Fisher 5841 (314)294-3348
